vehicle_id,frame_number,timestamp,vehicle_type,x_position,y_position,speed,direction
16,34,1.36,Person,395.5,77.83,4.6063,290.1
16,45,1.8,Person,396.67,105.5,3.2876,282.25
16,60,2.4,Person,426.83,121.0,4.1332,309.02
16,69,2.76,Person,452.67,148.33,5.8459,346.89
16,79,3.16,Person,483.5,167.83,6.5625,271.53
16,85,3.4,Person,476.5,177.67,6.6162,161.58
16,91,3.64,Person,460.5,177.17,4.5881,144.77
16,111,4.44,Person,436.0,181.67,4.6425,220.36
16,130,5.2,Person,419.83,173.83,4.6547,163.11
16,141,5.64,Person,422.5,177.5,6.1216,62.62
16,150,6.0,Person,436.67,160.67,6.4571,314.4
16,171,6.84,Person,445.67,159.0,4.2606,91.51
16,208,8.32,Person,450.0,155.67,3.2018,233.27
16,216,8.64,Person,451.33,172.0,2.2865,285.63
16,238,9.52,Person,460.83,181.5,3.0863,323.06
